Season Number,Episode Number,Pitch Number,Original Air Date,Startup Name,Industry,Business Description,Pitchers Gender,Pitchers City,Pitchers State,Pitchers Average Age,Entrepreneur Names,Company Website,Multiple Entrepreneurs,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Deal Status,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Loan,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Investment Count,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
1,1,1,09-08-2009,AvaTheElephant,Health & Wellness,Ava The Elephant - Baby and Child Care,Female,Atlanta,GA,UnKnown,Tiffany Krumins,http://www.avatheelephant.com/,0,4.15,50000,15,333333,1,1,50000,55,90909,1,50000,55,0,0,50000,55,0,0,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,0,0,1,1,1
1,1,2,09-08-2009,Mr.Tod'sPieFactory,Food & Beverage,Mr. Tod's Pie Factory - Specialty Food,Male,Somerset,NJ,UnKnown,Tod Wilson,http://whybake.com/,0,4.15,460000,10,4600000,1,1,460000,50,920000,2,230000,25,0,0,230000,25,0,0,0,0,0,0,230000,25,0,0,0,0,2,UnKnown,1,0,0,1,1,1
1,1,3,09-08-2009,Wispots,Business Services,Wispots - Consumer Services,Male,Cary,NC,UnKnown,Kevin Flannery,http://www.wispots.com/,0,4.15,1200000,10,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,1,4,09-08-2009,CollegeFoxesPackingBoxes,Lifestyle & Home,College Foxes Packing Boxes - Consumer Services,Male,Tampa,FL,UnKnown,"Nick Friedman, Omar Soliman",http://collegehunkshaulingjunk.com/,0,4.15,250000,25,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,1,5,09-08-2009,IonicEar,Software & Tech,Ionic Ear - Novelties,Male,St. Paul,MN,UnKnown,Darrin Johnson,UnKnown,0,4.15,1000000,15,6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,2,6,16-08-2009,APerfectPear,Food & Beverage,A Perfect Pear - Specialty Food,Female,Napa Valley,CA,UnKnown,Susan Knapp,http://www.aperfectpear.com,0,5.59,500000,15,3333333,1,1,500000,50,1000000,2,250000,25,0,0,0,0,0,0,0,0,250000,25,0,0,250000,25,0,0,2,UnKnown,1,0,0,1,1,1
1,2,7,16-08-2009,ClassroomJams,Children & Education,Classroom Jams - Education,Male,Chicago,IL,UnKnown,Mark Furigay,http://www.attachnoted.com/,0,5.59,250000,10,2500000,1,1,250000,100,250000,5,50000,20,1,0,50000,20,50000,20,0,0,50000,20,50000,20,50000,20,0,0,5,UnKnown,1,0,0,1,1,1
1,2,8,16-08-2009,Lifebelt,Automotive,Lifebelt - Automotive,Male,Las Vegas,NV,UnKnown,Robert Alison,UnKnown,0,5.59,500000,10,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,2,9,16-08-2009,CrookedJaw,Fashion & Beauty,Crooked Jaw - Men and Women's Apparel,Male,Hollywood,CA,UnKnown,Craig French,http://crookedjawfashions.com/,0,5.59,200000,20,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,2,10,16-08-2009,StickyNoteHolder,Lifestyle & Home,Sticky Note Holder - Productivity Tools,Female,Gardena,CA,UnKnown,Mary Ellen Simonson,UnKnown,0,5.59,100000,20,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,3,11,23-08-2009,TurboBaster,Food & Beverage,TurboBaster - Kitchen Tools,Female,San Francisco,CA,UnKnown,Marian Cruz,UnKnown,0,5.45,35000,35,100000,1,1,35000,100,35000,1,35000,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,100,1,Kevin Harrington,1,0,0,1,1,1
1,3,12,23-08-2009,StressFreeKids,Children & Education,Stress Free Kids - Baby and Child Care,Female,Marietta,GA,UnKnown,Lori Lite,http://www.stressfreekids.com,0,5.45,250000,20,1250000,1,1,250000,50,500000,1,250000,50,0,0,250000,50,0,0,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,0,0,1,1,1
1,3,13,23-08-2009,KwyztaChopstickArt,Children & Education,Kwyzta Chopstick Art - Kitchen Tools,Male,Eugene,OR,UnKnown,Brian Parks,http://www.chopstickart.com/,0,5.45,100000,10,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,3,14,23-08-2009,50StateCapitalsin50Minutes,Children & Education,50 State Capitals in 50 Minutes - Education,Male,Dallas,TX,UnKnown,Ken Bradford,http://www.amazon.com/50-State-Capitals-Fun-Minutes/dp/0967970822,0,5.45,155000,10,1550000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,3,15,23-08-2009,VoyageAirGuitar,Media & Entertainment,Voyage Air Guitar - Music,Male,Livermore,CA,UnKnown,Jeff and Josh Cohen,http://www.voyageairguitar.com/,1,5.45,500000,5,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,4,16,30-08-2009,GiftCardRescue,Software & Technology,Gift Card Rescue - Online Services,Male,Columbia,MD,UnKnown,Kwami Kuadey,http://www.giftcardrescue.com,0,4.89,150000,30,500000,1,1,200000,50,400000,2,100000,25,0,0,0,0,0,0,0,0,100000,25,0,0,100000,25,0,0,2,UnKnown,1,0,0,1,1,1
1,4,17,30-08-2009,Coverplay,Children & Education,Coverplay - Baby and Child Care,Female,Los Angeles,CA,UnKnown,Amy Feldman and Allison Costa,http://www.coverplayard.com/,1,4.89,350000,15,2333333,1,1,35000,40,87500,1,35000,40,0,0,35000,40,0,0,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,0,0,1,1,1
1,4,18,30-08-2009,GraffitiRemovalServices,Business Services,Graffiti Removal Services - Professional Services,Male,Portland,OR,UnKnown,Paul Watts,http://removegraffiti.net/,0,4.89,350000,15,2333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,4,19,30-08-2009,SoulsCalling,Fashion & Beauty,"Soul's Calling, Inc. - Women's Accessories",Female,Dallas,TX,UnKnown,Gina Catroneo,UnKnown,0,4.89,150000,25,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,4,20,30-08-2009,CoffeeBrandGifts,Food & Beverage,Coffee Brand Gifts - Novelties,Male,Dayton,OH,UnKnown,Dan Claffey,UnKnown,0,4.89,300000,40,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,0,0,1,1,1
1,5,21,06-09-2009,MyTherapyJournal,Health & Wellness,My Therapy Journal - Online Services,Male,Miami,FL,UnKnown,Rodolfo and Alexis Saccoman,http://www.mytherapyjournal.com,1,3.35,80000,20,400000,1,1,80000,51,156863,2,40000,25.5,0,0,0,0,0,0,0,0,40000,25.5,0,0,40000,25.5,0,0,2,UnKnown,1,0,0,1,1,1
1,5,22,06-09-2009,BodyJac,"Fitness, Sports & Outdoors",Body Jac - Fitness Equipment,Male,Ames,IA,UnKnown,Cactus Jack,UnKnown,0,3.35,180000,20,900000,1,1,180000,50,360000,1,180000,50,0,0,180000,50,0,0,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,0,0,1,1,1
